_id,PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,SoldAsVacantLand,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
1,98681,Condominium,0070002000,"9162 N 70TH ST, Unit 2",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,6,1244,N,1,3,2,1,0,11/11/2024,135500
2,98698,Condominium,0070019000,"9188 N 70TH ST, Unit 4",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,4,1002,N,1,2,1,1,0,7/25/2024,116400
3,98722,Condominium,0070043000,"9232 N 70TH ST, Unit 7",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437,N,1,4,2,1,0,1/10/2024,120000
4,98723,Condominium,0070044000,"9230 N 70TH ST, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,1,1973,10,1437,N,1,6,2,1,0,6/24/2024,155000
5,98724,Condominium,0070045000,"9228 N 70TH ST, Unit 9",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437,N,1,4,2,1,0,10/21/2024,154000
6,98726,Condominium,0070047000,"9258 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,10,1253,N,1,6,1,1,0,8/9/2024,135000
7,98728,Condominium,0070049000,9254 N 70TH ST,NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1244,N,1,2,2,1,0,11/29/2024,124000
8,98745,Condominium,0070066000,"9294 N 70TH ST, Unit 3",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,6,1244,N,1,3,2,1,0,7/22/2024,130000
9,98753,Condominium,0070074000,"6991 W GLENBROOK RD, Unit 2",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1244,N,1,3,2,1,0,12/19/2024,110000
10,98765,Condominium,0070086000,"6985 W GLENBROOK RD, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437,N,1,4,2,1,0,12/18/2024,120000
11,98789,Condominium,0070110000,"6933 W GLENBROOK RD, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1253,N,1,3,1,1,0,5/28/2024,152600
12,98790,Condominium,0070111000,"6945 W GLENBROOK RD, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,4,1253,N,1,2,1,1,0,6/14/2024,130900
13,98796,Condominium,0070117000,"6913 W GLENBROOK RD, Unit 4",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437,N,1,3,2,1,0,11/20/2024,141000
14,112746,Commercial,1560042000,5214 W WOOLWORTH AV,,9,6216,Multi Story Warehouse,Concrete Block,2,1953,NULL,3000,N,2,NULL,0,0,0,2/26/2024,60000
15,117338,Commercial,1799982118,10030 W APPLETON AV,,2,6432,Car Wash,Concrete Block,1,1963,NULL,5160,N,2,NULL,0,0,0,4/16/2024,315000
16,126582,Residential,2110650000,4893 N 66TH ST,,2,1380,Cape Cod,Brick,2,1953,4,1944,N,1,3,2,0,0,6/12/2024,220000
17,151537,Residential,2780609000,3435 N LAKE DR,,3,3060,Mansion,Stone,2,1926,11,4818,N,1,6,3,3,0,10/3/2024,1000000
18,151776,Condominium,2781543000,"3123 N MARIETTA AV, Unit 3",MARIETTA CONDOMINIUM,3,5592,Low Rise 1-3 Stories,,1,1922,9,2650,N,1,4,3,1,0,7/10/2024,570134
19,151785,Condominium,2781552000,"3133 N MARIETTA AV, Unit 12",MARIETTA CONDOMINIUM,3,5592,Low Rise 1-3 Stories,,1,1922,8,2650,N,1,4,2,1,0,11/6/2024,482000
20,152701,Lg Apartment,2801793112,3278 N DOUSMAN ST,,3,6987,Subsidized/Affordable Housing,Alum/Vynyl Siding,2,1984,NULL,21618,N,24,NULL,0,0,0,6/1/2024,1560000
21,152709,Condominium,2801831000,"3268 N CAMBRIDGE AV, Unit 1",RIVER TRAIL,3,5408,Condo Townhouse,,1,2005,5,1369,N,1,2,2,0,0,10/8/2024,314900
22,153794,Condominium,2812727000,"3059 N WEIL ST, Unit 107",HI-FI LOFTS CONDOMINIUMS,3,5720,Mid Rise 4-12 Stories,,1,1904,3,738,N,1,1,1,0,0,2/27/2024,230000
23,153802,Condominium,2812735000,"3059 N WEIL ST, Unit 115",HI-FI LOFTS CONDOMINIUMS,3,5720,Mid Rise 4-12 Stories,,1,1904,3,918,N,1,1,1,0,0,9/12/2024,240000
